s1_id,other_id,other_source,s1_name,other_name,s1_address,other_address,s1_country,other_country,label
S1-578309937,S2-966313655,S2,Garcia Management Inc,HUERTATILLERY.COM,"4639 Trinity Church Road, Kannapolis, NC","15 NIIKERSON DRIVE, PMB 7184, STOUGHTON, MA",US,US,0
S1-901045951,S3-58478669,S3,Transport Laboratories Ltd,Transport Laboratories (Limited),"House No-14, Kamla Nehru, Colony, Near G.R.V.College, Manasa, Neemuch, Madhya Pradesh","House No-#14, Kamla Nehru, Colony, Near G.r.v.college, Manasa, MP",India,India,1
S1-375669228,S2-362944410,S2,"Wingler Atlantic Aluminum, LLC",Peridotis Sun Inc,"234 Madison Street, Macomb, IL","KY, LOUISVILLE, 12506 SAXONY PARK CIR",US,US,0
S1-951452842,S2-176559421,S2,Caldyx Athene,Caldyx  Athene Corporation | www.caldyxat.com,"MO, Eureka, Unit APT 210, 15 Hilltop Village Center Drive","15-17 HILLTOP VILLAGE CENTER DRIVE, EUREKA CITY, MO",US,US,1
S1-371224975,S3-803223,S3,Animal Welfare Alliance,Newman & Castaneda Southside Inc,"15 Greenapple Court, Gwynn Oak, MD","388 Litchfield Street, Leominster, Massachusetts",US,US,0
S1-303842236,S3-810821240,S3,Oncology Care Associates LLC,Atlantic PLLC Center,"2438 Reynolds Ave SW, Cedar Rapids, IA","39 Ellington Dr, Troy, Illinois",US,US,0
S1-292700681,S3-920800846,S3,Wendel Consultants Center,Frontiercollege.Com,"1431 Montana Avenue, Unit 2, Washington, DC","25803 Market Street, Mcclure, Illinois",US,US,0
S1-273695732,S3-131225517,S3,Degree Dairy Clinic,Degree Center Dairy,"Flat No.7, Saptagiri Apartments, Plot No.15 Srinivasa Nagar Colony West, S.R. Nagar, Hyderabad, Telangana","Hyderabad, 7, TG, Saptagiri Apartments, Plot No.15 Srinivasa Nagar Colony West, S.r. Nagar, Hyderabad",India,India,1
S1-92250077,S2-710207224,S2,Shanna's Cafe,Wollard Custom Focus Central LLC,"95 Columbus Avenue, Unit Apartment 14, Freeport, NY","202 GILLESPIE DRIVE, FRANKLIN, TN",US,US,0
S1-706185582,S2-539087350,S2,United Charities,Piedmont Center Northside Inc #38400,"27 Heide Court, Smithtown, NY","1038B KINGSLEY RD, FAYETTEVILLE, NC",US,US,0
S1-845719092,S3-211351913,S3,Blue Consultants LLP,ব্লু কনসালট্যান্টস এলএলপি,"24B College Row, Kolkata, Calcutta, West Bengal","24B. College Row, Calcutta, <NULL>, WB",India,India,1
S1-351551082,S2-777120508,S2,Data Vidyalaya,Mind Cónsu1tancy,"H. No. - 392, Moh - Lohyiaan Near Saraswati Vidyaya Mandir, Dhampur, Bijnore, Uttar Pradesh","Uttar Pradesh, VILL- TILAKBHANTI POST- GARHMALPUR, BALLIA",India,India,0
S1-485945197,S3-243248353,S3,"Royal Learning Innovations, LLC",Thiessen Atlantic,"137 107, Cashiers, NC",,US,US,0
S1-175047079,S2-491660255,S2,Golden Consulting Ltd,सिटी ब्लू आईटी प्राइवेट लिमिटेड,"Ghar No 777/A Nagarpanchayat Lonand Tal - Khandala Dist - Satara, Satara, Maharashtra","KHASRA NO. : 134S/3 VILLAGE : BHAISAURA, LUCKNOW, Uttar Pradesh",India,India,0
S1-848691537,S3-817860982,S3,Raks (India) Technologies Pvt Ltd,फॉर्च्यून प्रोडक्ट्स प्राइवेट लिमिटेड,"2 Height Road Liluah, Howrah, West Bengal","Door No 7-35 Sno38/2/2, Shankar Nagar, P No33, Shriram Soc, Pune City, Pune, MH",India,India,0
S1-976957860,S2-180465651,S2,Brown Federal Alussa,SOUTHERN NASDAQ L.L.C.,"Federal Way, WA, 35520 4th Avenue","3205 HINES CHAPEL RD, GREENSBORO, NC",US,US,0
S1-411580928,S2-705325038,S2,Sree Consultants Private Limited,सदर्न हॉस्पिटैलिटी प्राइवेट लिमिटेड,"B 1 144 Sector G, Aliganj, Lucknow, Uttar Pradesh","PLOT NO. S-201, JAIPUR, Rajasthan",India,India,0
S1-294850878,S2-623253493,S2,Christabella Wynn Clean Tpg Inc,BACK  ALLEY SEAFOOD LTD,"19 Pondera Way, Hot Springs Village, AR","00259 KEAWAKAPU DRIVE, BSATROP TOWNSHIP, TX",US,US,0
S1-612546969,S3-642401127,S3,White Services,SUCCESS (INDIA) AUTO PRIVATE LIMITED,"D 58/12A4, Gandhi Nagar, Varanasi, Uttar Pradesh","Door No 234 Right Portion, Delhi, DL, 1St Floor Blk-f",India,India,0
