s1_id,other_id,other_source,label,name_token_jaccard,name_levenshtein,name_tfidf_cosine,address_token_jaccard,address_levenshtein,exact_name_match,missing_address,country_match
S1-578309937,S2-966313655,S2,0,0.0,0.23529411764705888,0.0,0.0,0.2564102564102564,0,0,1
S1-901045951,S3-58478669,S3,1,1.0,1.0,1.0,0.75,0.855072463768116,1,0,1
S1-375669228,S2-362944410,S2,0,0.0,0.368421052631579,0.0,0.0,0.31746031746031744,0,0,1
S1-951452842,S2-176559421,S2,1,0.4,0.6046511627906976,0.6894019332672324,0.5833333333333334,0.6213592233009708,0,0,1
S1-371224975,S3-803223,S3,0,0.0,0.36734693877551017,0.0,0.0,0.2564102564102564,0,0,1
S1-303842236,S3-810821240,S3,0,0.0,0.36363636363636365,0.0,0.0,0.36923076923076925,0,0,1
S1-292700681,S3-920800846,S3,0,0.0,0.31818181818181823,0.0,0.0,0.34210526315789463,0,0,1
S1-273695732,S3-131225517,S3,1,0.5,0.631578947368421,0.8819031426627297,0.8125,0.8601036269430051,0,0,1
S1-92250077,S2-710207224,S2,0,0.0,0.29268292682926833,0.0,0.0,0.3291139240506329,0,0,1
S1-706185582,S2-539087350,S2,0,0.0,0.3829787234042554,0.0,0.0,0.33333333333333337,0,0,1
S1-845719092,S3-211351913,S3,1,0.0,0.0,0.0,0.4444444444444444,0.7105263157894737,0,0,1
S1-351551082,S2-777120508,S2,0,0.0,0.2666666666666667,0.0,0.1111111111111111,0.34328358208955223,0,0,1
S1-485945197,S3-243248353,S3,0,0.0,0.2790697674418605,0.0,0.0,0.0,0,1,1
S1-175047079,S2-491660255,S2,0,0.0,0.0,0.0,0.05263157894736842,0.42962962962962964,0,0,1
S1-848691537,S3-817860982,S3,0,0.0,0.0,0.0,0.047619047619047616,0.2857142857142857,0,0,1
S1-976957860,S2-180465651,S2,0,0.0,0.4,0.0,0.0,0.27692307692307694,0,0,1
S1-411580928,S2-705325038,S2,0,0.0,0.0,0.0,0.0,0.368421052631579,0,0,1
S1-294850878,S2-623253493,S2,0,0.0,0.3555555555555555,0.0,0.0,0.3589743589743589,0,0,1
S1-612546969,S3-642401127,S3,0,0.0,0.25,0.0,0.0,0.35789473684210527,0,0,1
S1-256452080,S2-176322447,S2,1,1.0,1.0,1.0000000000000002,0.5,0.8,1,0,1
S1-298418825,S3-121440774,S3,0,0.0,0.26315789473684215,0.0,0.0,0.3661971830985915,0,0,1
S1-602899934,S3-943235471,S3,0,0.0,0.23076923076923073,0.0,0.0,0.34285714285714286,0,0,1
S1-218154116,S3-729711224,S3,0,0.0,0.3137254901960784,0.0,0.0,0.3448275862068966,0,0,1
S1-550808488,S3-855433908,S3,0,0.0,0.3589743589743589,0.0,0.0,0.3661971830985915,0,0,1
S1-969849472,S2-634881218,S2,0,0.0,0.2592592592592593,0.0,0.0,0.30508474576271183,0,0,1
S1-765870572,S2-389916542,S2,0,0.0,0.0,0.0,0.0,0.2834645669291339,0,0,1
S1-773030434,S2-825198071,S2,0,0.0,0.4285714285714286,0.0,0.0,0.34013605442176875,0,0,1
S1-648979238,S3-558458463,S3,0,0.0,0.3870967741935484,0.0,0.0,0.37142857142857144,0,0,1
S1-103885720,S2-362978845,S2,0,0.0,0.3829787234042554,0.0,0.0625,0.3779527559055118,0,0,1
